id,title,director,movice_type,producer_country,language,release_time,film_length,score,comment_num
25845392,长津湖,陈凯歌,"剧情,历史,战争","中国大陆,中国香港","汉语普通话,英语",2021-09-30(中国大陆),176分钟,7.4,657047
26954859,兰心大剧院,娄烨,剧情,中国大陆,"汉语普通话,英语,日语,法语",2021-10-15(中国大陆),126分钟(威尼斯电影节),7.2,114864
34812928,鱿鱼游戏 오징어 게임,,"悬疑,惊悚",韩国,"韩语,英语,乌尔都语,汉语普通话",,,7.6,438437
35294995,我和我的父辈,吴京,剧情,中国大陆,汉语普通话,2021-09-30(中国大陆),156分钟,6.5,223166
33457594,摩加迪沙 모가디슈,柳昇完,"剧情,动作",韩国,"韩语,英语",2021-07-28(韩国),121分钟,8.1,79113
35206452,脱口秀大会 第四季,,"喜剧,脱口秀",中国大陆,汉语普通话,,,7.6,52758
3001114,沙丘 Dune,丹尼斯·维伦纽瓦,"剧情,科幻,冒险",美国,"英语,汉语普通话",2021-10-22(美国/中国大陆),156分钟,7.7,501028
30337388,失控玩家 Free Guy,肖恩·利维,"喜剧,动作,科幻","美国,加拿大",英语,2021-08-27(中国大陆),115分钟,7.5,573641
1292052,肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦特,"剧情,犯罪",美国,英语,1994-09-10(多伦多电影节),142分钟,9.7,2585399
35215517,俗女养成记2 俗女養成記2,,"剧情,喜剧",中国台湾,"汉语普通话,闽南语",,,9.3,70259
26752088,我不是药神,文牧野,"剧情,喜剧",中国大陆,"汉语普通话,英语,上海话,印地语",2018-07-05(中国大陆),117分钟,9.0,1892825
35296153,海岸村恰恰恰 갯마을 차차차,,"剧情,爱情",韩国,韩语,,,8.6,70571
25662329,疯狂动物城 Zootopia,拜伦·霍华德,"喜剧,动画,冒险",美国,"英语,挪威语",2016-03-04(中国大陆/美国),109分钟(中国大陆),9.2,1700153
1291561,千与千寻 千と千尋の神隠し,宫崎骏,"剧情,动画,奇幻",日本,日语,2019-06-21(中国大陆),125分钟,9.4,2021793
30174085,怒火·重案 怒火,陈木胜,"动作,犯罪","中国香港,中国大陆","粤语,汉语普通话",2021-07-30(中国大陆),128分钟,7.2,394152
35158124,盛夏未来,陈正道,剧情,中国大陆,汉语普通话,2021-07-30(中国大陆),115分钟,7.1,212906
1292722,泰坦尼克号 Titanic,詹姆斯·卡梅隆,"剧情,爱情,灾难","美国,墨西哥,澳大利亚,加拿大","英语,意大利语,德语,俄语",1998-04-03(中国大陆),194分钟,9.4,1904064
1295644,这个杀手不太冷 Léon,吕克·贝松,"剧情,动作,犯罪","法国,美国","英语,意大利语,法语",1994-09-14(法国),110分钟(剧场版),9.4,2097827
1292720,阿甘正传 Forrest Gump,罗伯特·泽米吉斯,"剧情,爱情",美国,英语,1994-06-23(洛杉矶首映),142分钟,9.5,1942712
35087699,中国医生,刘伟强,"剧情,灾难",中国大陆,汉语普通话,2021-07-09(中国大陆),129分钟,6.9,220535
26794435,哪吒之魔童降世,饺子,"剧情,喜剧,动画,奇幻",中国大陆,汉语普通话,2019-07-26(中国大陆),110分钟,8.4,1700179
34841067,你好，李焕英,贾玲,"剧情,喜剧,奇幻",中国大陆,汉语普通话,2021-02-12(中国大陆),128分钟,7.7,1259500
26387939,摔跤吧！爸爸 Dangal,涅提·蒂瓦里,"剧情,家庭,传记,运动",印度,"印地语,英语",2017-05-05(中国大陆),161分钟(印度),9.0,1418378
30132501,我的巴比伦恋人,,"剧情,喜剧,爱情,奇幻",中国大陆,汉语普通话,,,7.2,48044
